rid	hid	duration	itime	otime	jtid	jtname
1000005651	22827	185	2018-03-12 08:39:47	2018-03-12 08:42:52	8	Case Manager
1000005651	22912	158	2018-03-12 08:04:54	2018-03-12 08:07:32	1	Nursing
1000005651	22912	78	2018-03-12 08:18:51	2018-03-12 08:20:09	1	Nursing
1000005651	22912	855	2018-03-12 09:13:19	2018-03-12 09:27:34	1	Nursing
1000005651	22912	125	2018-03-12 09:55:47	2018-03-12 09:57:52	1	Nursing
1000005651	22912	363	2018-03-12 10:12:04	2018-03-12 10:18:07	1	Nursing
1000005651	22912	185	2018-03-12 14:00:18	2018-03-12 14:03:23	1	Nursing
1000005651	22912	171	2018-03-12 14:40:04	2018-03-12 14:42:55	1	Nursing
1000005651	22912	288	2018-03-12 14:44:20	2018-03-12 14:49:08	1	Nursing
1000005651	22912	66	2018-03-12 17:17:57	2018-03-12 17:19:03	1	Nursing
1000005651	22912	409	2018-03-12 17:19:56	2018-03-12 17:26:45	1	Nursing
1000005651	22912	479	2018-03-12 17:27:43	2018-03-12 17:35:42	1	Nursing
1000005651	22912	98	2018-03-12 18:55:41	2018-03-12 18:57:19	1	Nursing
1000005651	22940	573	2018-03-12 09:49:03	2018-03-12 09:58:36	3	Respiratory Therapy
1000005651	22940	239	2018-03-12 14:12:33	2018-03-12 14:16:32	3	Respiratory Therapy
1000005651	22940	417	2018-03-12 17:16:52	2018-03-12 17:23:49	3	Respiratory Therapy
1000005652	22944	97	2018-03-12 14:38:28	2018-03-12 14:40:05	12	Administration
1000005653	22827	239	2018-03-12 08:30:25	2018-03-12 08:34:24	8	Case Manager
1000005653	22912	361	2018-03-12 10:23:06	2018-03-12 10:29:07	1	Nursing
1000005653	22912	156	2018-03-12 12:24:05	2018-03-12 12:26:41	1	Nursing
1000005653	22912	194	2018-03-12 13:44:30	2018-03-12 13:47:44	1	Nursing
1000005653	22912	435	2018-03-12 14:04:20	2018-03-12 14:11:35	1	Nursing
1000005653	22912	84	2018-03-12 14:12:16	2018-03-12 14:13:40	1	Nursing
1000005653	22912	535	2018-03-12 14:16:04	2018-03-12 14:24:59	1	Nursing
1000005653	22912	133	2018-03-12 14:56:18	2018-03-12 14:58:31	1	Nursing
1000005653	22912	103	2018-03-12 16:00:01	2018-03-12 16:01:44	1	Nursing
1000005653	22912	104	2018-03-12 16:47:18	2018-03-12 16:49:02	1	Nursing
1000005653	22912	62	2018-03-12 16:49:44	2018-03-12 16:50:46	1	Nursing
1000005654	22902	336	2018-03-12 10:12:13	2018-03-12 10:17:49	11	Phlebotomist
1000005654	22912	96	2018-03-12 07:17:55	2018-03-12 07:19:31	1	Nursing
