hid,jtid,rid,duration,itime,otime
5,8,7,465.90591516383756,2020-01-02 07:00:04,2020-01-02 07:07:49.905915
7,10,9,975.0776340994357,2020-01-02 07:00:07,2020-01-02 07:16:22.077634
0,1,8,193.43979689463436,2020-01-02 07:00:28,2020-01-02 07:03:41.439797
1,1,5,88.23691967363804,2020-01-02 07:00:51,2020-01-02 07:02:19.236920
12,17,5,321.70320554622293,2020-01-02 07:01:53,2020-01-02 07:07:14.703206
0,1,8,71.80774507761619,2020-01-02 07:10:02.938036,2020-01-02 07:11:14.745781
7,10,5,76.09474580292652,2020-01-02 07:10:52.555900,2020-01-02 07:12:08.650646
0,1,8,528.7414153458528,2020-01-02 07:20:01.876072,2020-01-02 07:28:50.617487
7,10,5,666.1599213369774,2020-01-02 07:21:12.111800,2020-01-02 07:32:18.271721
5,8,5,413.172522082217,2020-01-02 07:23:13.460781,2020-01-02 07:30:06.633303
12,17,5,265.97941392270866,2020-01-02 07:27:02.158690,2020-01-02 07:31:28.138104
1,1,5,89.36140650501575,2020-01-02 07:30:06.200837,2020-01-02 07:31:35.562244
0,1,8,430.2589001931501,2020-01-02 07:30:17.814108,2020-01-02 07:37:28.073008
4,7,1,488.9413607085508,2020-01-02 08:00:15,2020-01-02 08:08:23.941361
12,17,5,2192.7145746818314,2020-01-02 08:00:16,2020-01-02 08:36:48.714575
0,1,8,525.3613551228771,2020-01-02 08:00:43,2020-01-02 08:09:28.361355
6,8,8,298.2079215396704,2020-01-02 08:01:17,2020-01-02 08:06:15.207922
2,2,6,1125.9381274690231,2020-01-02 08:01:48,2020-01-02 08:20:33.938127
12,17,5,114.27127101452888,2020-01-02 08:11:11.507077,2020-01-02 08:13:05.778348
4,7,1,88.02508049331625,2020-01-02 08:17:00.063075,2020-01-02 08:18:28.088155
0,1,8,791.4685421546819,2020-01-02 08:19:29.585051,2020-01-02 08:32:41.053593
2,2,6,153.67226808781106,2020-01-02 08:19:51.194802,2020-01-02 08:22:24.867070
6,8,8,193.9800033041023,2020-01-02 08:27:13.906038,2020-01-02 08:30:27.886041
4,7,1,235.844333948073,2020-01-02 08:32:09.126150,2020-01-02 08:36:04.970484
11,17,9,149.301367023949,2020-01-02 09:00:22,2020-01-02 09:02:51.301367
5,8,3,441.6449465079529,2020-01-02 09:00:37,2020-01-02 09:07:58.644947
1,1,5,115.94514021263609,2020-01-02 09:01:15,2020-01-02 09:03:10.945140
12,17,5,337.98141176647744,2020-01-02 09:01:17,2020-01-02 09:06:54.981412
5,8,5,282.3003966707951,2020-01-02 09:14:10.556364,2020-01-02 09:18:52.856761
12,17,5,148.76923555402382,2020-01-02 09:15:15.590312,2020-01-02 09:17:44.359548
1,1,5,532.3206991848484,2020-01-02 09:24:41.867080,2020-01-02 09:33:34.187779
5,8,3,534.3855657045145,2020-01-02 09:26:27.112728,2020-01-02 09:35:21.498294
11,17,4,415.6929054553263,2020-01-02 09:27:10.502864,2020-01-02 09:34:06.195769
12,17,5,600.4784170326684,2020-01-02 09:28:44.180624,2020-01-02 09:38:44.659041
4,7,3,236.72237387467513,2020-01-02 10:00:34,2020-01-02 10:04:30.722374
4,7,1,578.4439664760382,2020-01-02 10:24:37.416830,2020-01-02 10:34:15.860796
6,8,8,784.9874084641863,2020-01-02 11:00:35,2020-01-02 11:13:39.987408
11,17,3,193.24020538364368,2020-01-02 11:01:23,2020-01-02 11:04:36.240205
12,17,5,317.64756496571795,2020-01-02 11:01:33,2020-01-02 11:06:50.647565
6,8,8,488.7724408062842,2020-01-02 11:19:26.120075,2020-01-02 11:27:34.892516
12,17,5,318.17985389478906,2020-01-02 11:27:04.086291,2020-01-02 11:32:22.266145
11,17,2,115.80188762402486,2020-01-02 11:28:25.478953,2020-01-02 11:30:21.280841
8,11,4,204.2629193910178,2020-01-02 12:00:02,2020-01-02 12:03:26.262919
2,2,6,114.70619560552625,2020-01-02 12:00:11,2020-01-02 12:02:05.706196
12,17,5,115.78435749031182,2020-01-02 12:00:46,2020-01-02 12:02:41.784357
5,8,5,443.1990263586554,2020-01-02 12:00:55,2020-01-02 12:08:18.199026
12,17,5,68.07524543413206,2020-01-02 12:16:03.277574,2020-01-02 12:17:11.352819
2,2,6,804.8958626992271,2020-01-02 12:22:20.198971,2020-01-02 12:35:45.094834
8,11,4,565.295056782768,2020-01-02 12:25:22.221012,2020-01-02 12:34:47.516069
5,8,3,84.00873980008761,2020-01-02 12:28:00.396117,2020-01-02 12:29:24.404857
12,17,5,625.3076740367036,2020-01-02 12:31:08.555148,2020-01-02 12:41:33.862822
1,1,5,762.698271075704,2020-01-02 13:00:06,2020-01-02 13:12:48.698271
12,17,5,171.7291325158054,2020-01-02 13:00:30,2020-01-02 13:03:21.729133
2,2,6,115.41271649572639,2020-01-02 13:00:58,2020-01-02 13:02:53.412716
