hid,jtid,rid,duration,itime,otime
23,6,1,463.86024956085276,2020-01-02 07:00:03,2020-01-02 07:07:46.860250
37,10,8,139.92443259339848,2020-01-02 07:00:29,2020-01-02 07:02:48.924433
27,6,2,273.1126228408864,2020-01-02 07:00:34,2020-01-02 07:05:07.112623
7,1,1,196.90324345389212,2020-01-02 07:00:42,2020-01-02 07:03:58.903243
38,10,0,179.09321287544404,2020-01-02 07:00:53,2020-01-02 07:03:52.093213
15,2,8,616.4192327585649,2020-01-02 07:01:00,2020-01-02 07:11:16.419233
11,1,2,142.56001477296076,2020-01-02 07:01:08,2020-01-02 07:03:30.560015
18,3,6,707.3222842478802,2020-01-02 07:01:08,2020-01-02 07:12:55.322284
17,3,6,555.7434865485737,2020-01-02 07:01:31,2020-01-02 07:10:46.743487
10,1,8,169.28601210241402,2020-01-02 07:02:06,2020-01-02 07:04:55.286012
38,10,0,178.9197907881655,2020-01-02 07:09:35.839702,2020-01-02 07:12:34.759493
37,10,1,225.47762020116838,2020-01-02 07:12:46.900759,2020-01-02 07:16:32.378379
15,2,8,1448.7693329284327,2020-01-02 07:13:34.405717,2020-01-02 07:37:43.175050
11,1,3,236.30617622284117,2020-01-02 07:14:45.788845,2020-01-02 07:18:42.095021
27,6,2,123.6955849793,2020-01-02 07:16:49.488226,2020-01-02 07:18:53.183811
18,3,6,833.040026653788,2020-01-02 07:18:12.818845,2020-01-02 07:32:05.858872
38,10,0,835.3029331658522,2020-01-02 07:19:12.679404,2020-01-02 07:33:07.982337
17,3,6,833.477231175379,2020-01-02 07:19:46.389641,2020-01-02 07:33:39.866872
37,10,8,1089.8956701669013,2020-01-02 07:24:25.801518,2020-01-02 07:42:35.697188
23,6,1,71.10099626268577,2020-01-02 07:25:51.519377,2020-01-02 07:27:02.620373
7,1,1,388.63305219553126,2020-01-02 07:26:04.231852,2020-01-02 07:32:32.864904
10,1,8,93.29562459409492,2020-01-02 07:28:04.709182,2020-01-02 07:29:38.004807
38,10,0,143.32525346078506,2020-01-02 07:28:36.519106,2020-01-02 07:30:59.844359
11,1,3,572.7672739060579,2020-01-02 07:30:35.577690,2020-01-02 07:40:08.344964
27,6,2,276.72711374576147,2020-01-02 07:33:22.976452,2020-01-02 07:37:59.703566
22,5,1,1875.5535402139246,2020-01-02 08:00:17,2020-01-02 08:31:32.553540
3,1,6,233.66373154554597,2020-01-02 08:00:18,2020-01-02 08:04:11.663732
37,10,8,1053.0333571446993,2020-01-02 08:00:21,2020-01-02 08:17:54.033357
27,6,2,97.53052467652586,2020-01-02 08:00:22,2020-01-02 08:01:59.530525
4,1,2,2414.957602114853,2020-01-02 08:00:22,2020-01-02 08:40:36.957602
7,1,1,200.03631015541785,2020-01-02 08:00:27,2020-01-02 08:03:47.036310
13,1,2,584.119293955846,2020-01-02 08:00:44,2020-01-02 08:10:28.119294
12,1,5,275.22904572378496,2020-01-02 08:00:46,2020-01-02 08:05:21.229046
15,2,8,1047.3316929396797,2020-01-02 08:00:50,2020-01-02 08:18:17.331693
39,10,1,992.0933705810587,2020-01-02 08:00:57,2020-01-02 08:17:29.093371
34,8,3,452.3722971406039,2020-01-02 08:01:00,2020-01-02 08:08:32.372297
