,facility,run,sim_day,pat_inf,hcws_inf
0,./fac19,4,2020-01-02,0,0
1,./fac19,4,2020-01-03,0,13
2,./fac19,4,2020-01-04,0,18
3,./fac19,4,2020-01-05,2,22
4,./fac19,4,2020-01-06,3,39
5,./fac19,4,2020-01-07,6,51
6,./fac19,4,2020-01-08,6,65
7,./fac19,4,2020-01-09,7,80
8,./fac19,4,2020-01-10,9,88
9,./fac19,4,2020-01-11,9,102
10,./fac19,4,2020-01-12,9,108
11,./fac19,4,2020-01-13,9,114
12,./fac19,4,2020-01-14,9,115
13,./fac19,4,2020-01-15,9,116
14,./fac19,4,2020-01-16,11,116
15,./fac19,4,2020-01-17,12,116
16,./fac19,4,2020-01-18,15,116
17,./fac19,4,2020-01-19,15,117
18,./fac19,4,2020-01-20,15,120
19,./fac19,4,2020-01-21,16,120
20,./fac19,4,2020-01-22,16,120
21,./fac19,4,2020-01-23,16,120
22,./fac19,4,2020-01-24,16,120
23,./fac19,4,2020-01-25,16,120
24,./fac19,4,2020-01-26,16,121
25,./fac19,4,2020-01-27,16,121
26,./fac19,4,2020-01-28,16,121
27,./fac19,4,2020-01-29,16,121
