,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,3,2020-01-02,0,0
1,./fac21,3,2020-01-03,0,2
2,./fac21,3,2020-01-04,0,4
3,./fac21,3,2020-01-05,0,6
4,./fac21,3,2020-01-06,0,6
5,./fac21,3,2020-01-07,0,6
6,./fac21,3,2020-01-08,0,7
7,./fac21,3,2020-01-09,0,7
8,./fac21,3,2020-01-10,3,7
9,./fac21,3,2020-01-11,4,8
10,./fac21,3,2020-01-12,4,14
11,./fac21,3,2020-01-13,4,19
12,./fac21,3,2020-01-14,6,19
13,./fac21,3,2020-01-15,6,20
14,./fac21,3,2020-01-16,6,26
15,./fac21,3,2020-01-17,8,27
16,./fac21,3,2020-01-18,8,28
17,./fac21,3,2020-01-19,8,28
18,./fac21,3,2020-01-20,9,29
19,./fac21,3,2020-01-21,11,29
20,./fac21,3,2020-01-22,12,30
21,./fac21,3,2020-01-23,12,32
22,./fac21,3,2020-01-24,12,32
23,./fac21,3,2020-01-25,13,33
24,./fac21,3,2020-01-26,13,33
25,./fac21,3,2020-01-27,13,33
26,./fac21,3,2020-01-28,13,33
27,./fac21,3,2020-01-29,13,33
