,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,1,2020-01-02,0,0
1,./fac21,1,2020-01-03,0,3
2,./fac21,1,2020-01-04,0,5
3,./fac21,1,2020-01-05,1,6
4,./fac21,1,2020-01-06,2,6
5,./fac21,1,2020-01-07,4,11
6,./fac21,1,2020-01-08,5,16
7,./fac21,1,2020-01-09,5,18
8,./fac21,1,2020-01-10,7,21
9,./fac21,1,2020-01-11,7,25
10,./fac21,1,2020-01-12,7,27
11,./fac21,1,2020-01-13,8,31
12,./fac21,1,2020-01-14,9,32
13,./fac21,1,2020-01-15,10,32
14,./fac21,1,2020-01-16,11,32
15,./fac21,1,2020-01-17,12,33
16,./fac21,1,2020-01-18,14,33
17,./fac21,1,2020-01-19,15,33
18,./fac21,1,2020-01-20,15,33
19,./fac21,1,2020-01-21,15,33
20,./fac21,1,2020-01-22,15,33
21,./fac21,1,2020-01-23,15,33
22,./fac21,1,2020-01-24,15,33
23,./fac21,1,2020-01-25,15,33
24,./fac21,1,2020-01-26,15,33
25,./fac21,1,2020-01-27,15,33
26,./fac21,1,2020-01-28,15,33
27,./fac21,1,2020-01-29,15,33
