,facility,run,sim_day,pat_inf,hcws_inf
0,./fac19,10,2020-01-02,0,0
1,./fac19,10,2020-01-03,0,15
2,./fac19,10,2020-01-04,0,21
3,./fac19,10,2020-01-05,3,26
4,./fac19,10,2020-01-06,4,40
5,./fac19,10,2020-01-07,4,60
6,./fac19,10,2020-01-08,5,75
7,./fac19,10,2020-01-09,6,87
8,./fac19,10,2020-01-10,7,94
9,./fac19,10,2020-01-11,8,104
10,./fac19,10,2020-01-12,9,110
11,./fac19,10,2020-01-13,9,112
12,./fac19,10,2020-01-14,9,112
13,./fac19,10,2020-01-15,9,114
14,./fac19,10,2020-01-16,12,114
15,./fac19,10,2020-01-17,13,114
16,./fac19,10,2020-01-18,13,115
17,./fac19,10,2020-01-19,14,116
18,./fac19,10,2020-01-20,14,118
19,./fac19,10,2020-01-21,14,118
20,./fac19,10,2020-01-22,15,118
21,./fac19,10,2020-01-23,15,120
22,./fac19,10,2020-01-24,16,120
23,./fac19,10,2020-01-25,16,121
24,./fac19,10,2020-01-26,16,121
25,./fac19,10,2020-01-27,16,121
26,./fac19,10,2020-01-28,16,121
27,./fac19,10,2020-01-29,16,121
