,facility,run,sim_day,pat_inf,hcws_inf
0,./fac19,7,2020-01-02,0,0
1,./fac19,7,2020-01-03,0,13
2,./fac19,7,2020-01-04,1,20
3,./fac19,7,2020-01-05,3,32
4,./fac19,7,2020-01-06,3,47
5,./fac19,7,2020-01-07,5,61
6,./fac19,7,2020-01-08,6,75
7,./fac19,7,2020-01-09,8,88
8,./fac19,7,2020-01-10,9,100
9,./fac19,7,2020-01-11,9,105
10,./fac19,7,2020-01-12,9,111
11,./fac19,7,2020-01-13,9,111
12,./fac19,7,2020-01-14,9,114
13,./fac19,7,2020-01-15,10,116
14,./fac19,7,2020-01-16,12,116
15,./fac19,7,2020-01-17,12,116
16,./fac19,7,2020-01-18,14,116
17,./fac19,7,2020-01-19,15,117
18,./fac19,7,2020-01-20,15,118
19,./fac19,7,2020-01-21,15,119
20,./fac19,7,2020-01-22,15,119
21,./fac19,7,2020-01-23,15,120
22,./fac19,7,2020-01-24,15,120
23,./fac19,7,2020-01-25,15,120
24,./fac19,7,2020-01-26,15,120
25,./fac19,7,2020-01-27,15,120
26,./fac19,7,2020-01-28,15,120
27,./fac19,7,2020-01-29,15,120
