,facility,run,sim_day,pat_inf,hcws_inf
0,./fac19,5,2020-01-02,0,0
1,./fac19,5,2020-01-03,0,15
2,./fac19,5,2020-01-04,1,18
3,./fac19,5,2020-01-05,5,31
4,./fac19,5,2020-01-06,6,52
5,./fac19,5,2020-01-07,7,70
6,./fac19,5,2020-01-08,8,82
7,./fac19,5,2020-01-09,8,97
8,./fac19,5,2020-01-10,9,99
9,./fac19,5,2020-01-11,9,107
10,./fac19,5,2020-01-12,9,111
11,./fac19,5,2020-01-13,9,111
12,./fac19,5,2020-01-14,9,111
13,./fac19,5,2020-01-15,10,111
14,./fac19,5,2020-01-16,13,111
15,./fac19,5,2020-01-17,14,111
16,./fac19,5,2020-01-18,14,111
17,./fac19,5,2020-01-19,14,114
18,./fac19,5,2020-01-20,15,116
19,./fac19,5,2020-01-21,16,116
20,./fac19,5,2020-01-22,16,116
21,./fac19,5,2020-01-23,16,117
22,./fac19,5,2020-01-24,16,117
23,./fac19,5,2020-01-25,16,118
24,./fac19,5,2020-01-26,16,118
25,./fac19,5,2020-01-27,16,118
26,./fac19,5,2020-01-28,17,118
27,./fac19,5,2020-01-29,17,118
