,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,6,2020-01-02,0,0
1,./fac21,6,2020-01-03,0,2
2,./fac21,6,2020-01-04,0,4
3,./fac21,6,2020-01-05,1,5
4,./fac21,6,2020-01-06,1,6
5,./fac21,6,2020-01-07,1,11
6,./fac21,6,2020-01-08,4,13
7,./fac21,6,2020-01-09,5,16
8,./fac21,6,2020-01-10,6,20
9,./fac21,6,2020-01-11,7,25
10,./fac21,6,2020-01-12,7,29
11,./fac21,6,2020-01-13,8,32
12,./fac21,6,2020-01-14,9,33
13,./fac21,6,2020-01-15,9,33
14,./fac21,6,2020-01-16,10,33
15,./fac21,6,2020-01-17,10,33
16,./fac21,6,2020-01-18,11,33
17,./fac21,6,2020-01-19,12,33
18,./fac21,6,2020-01-20,12,33
19,./fac21,6,2020-01-21,12,33
20,./fac21,6,2020-01-22,12,33
21,./fac21,6,2020-01-23,12,33
22,./fac21,6,2020-01-24,12,33
23,./fac21,6,2020-01-25,12,33
24,./fac21,6,2020-01-26,12,33
25,./fac21,6,2020-01-27,12,33
26,./fac21,6,2020-01-28,12,33
27,./fac21,6,2020-01-29,12,33
