,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,5,2020-01-02,0,0
1,./fac21,5,2020-01-03,0,3
2,./fac21,5,2020-01-04,0,5
3,./fac21,5,2020-01-05,0,6
4,./fac21,5,2020-01-06,1,6
5,./fac21,5,2020-01-07,1,10
6,./fac21,5,2020-01-08,2,13
7,./fac21,5,2020-01-09,4,15
8,./fac21,5,2020-01-10,5,16
9,./fac21,5,2020-01-11,5,20
10,./fac21,5,2020-01-12,5,24
11,./fac21,5,2020-01-13,7,28
12,./fac21,5,2020-01-14,7,29
13,./fac21,5,2020-01-15,9,29
14,./fac21,5,2020-01-16,9,31
15,./fac21,5,2020-01-17,9,32
16,./fac21,5,2020-01-18,9,32
17,./fac21,5,2020-01-19,9,32
18,./fac21,5,2020-01-20,12,32
19,./fac21,5,2020-01-21,12,32
20,./fac21,5,2020-01-22,13,32
21,./fac21,5,2020-01-23,13,32
22,./fac21,5,2020-01-24,13,32
23,./fac21,5,2020-01-25,13,33
24,./fac21,5,2020-01-26,13,33
25,./fac21,5,2020-01-27,13,33
26,./fac21,5,2020-01-28,13,33
27,./fac21,5,2020-01-29,13,33
