,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,2,2020-01-02,0,0
1,./fac21,2,2020-01-03,0,3
2,./fac21,2,2020-01-04,1,5
3,./fac21,2,2020-01-05,1,7
4,./fac21,2,2020-01-06,1,10
5,./fac21,2,2020-01-07,3,13
6,./fac21,2,2020-01-08,4,16
7,./fac21,2,2020-01-09,5,20
8,./fac21,2,2020-01-10,8,22
9,./fac21,2,2020-01-11,9,26
10,./fac21,2,2020-01-12,10,30
11,./fac21,2,2020-01-13,10,32
12,./fac21,2,2020-01-14,10,32
13,./fac21,2,2020-01-15,11,32
14,./fac21,2,2020-01-16,11,32
15,./fac21,2,2020-01-17,11,33
16,./fac21,2,2020-01-18,12,33
17,./fac21,2,2020-01-19,13,33
18,./fac21,2,2020-01-20,13,33
19,./fac21,2,2020-01-21,13,33
20,./fac21,2,2020-01-22,13,33
21,./fac21,2,2020-01-23,13,33
22,./fac21,2,2020-01-24,13,33
23,./fac21,2,2020-01-25,13,33
24,./fac21,2,2020-01-26,13,33
25,./fac21,2,2020-01-27,13,33
26,./fac21,2,2020-01-28,13,33
27,./fac21,2,2020-01-29,13,33
