,facility,run,sim_day,pat_inf,hcws_inf
0,./fac19,3,2020-01-02,0,0
1,./fac19,3,2020-01-03,0,12
2,./fac19,3,2020-01-04,1,18
3,./fac19,3,2020-01-05,4,28
4,./fac19,3,2020-01-06,5,46
5,./fac19,3,2020-01-07,6,63
6,./fac19,3,2020-01-08,7,76
7,./fac19,3,2020-01-09,7,93
8,./fac19,3,2020-01-10,8,100
9,./fac19,3,2020-01-11,8,107
10,./fac19,3,2020-01-12,8,116
11,./fac19,3,2020-01-13,8,116
12,./fac19,3,2020-01-14,8,116
13,./fac19,3,2020-01-15,9,116
14,./fac19,3,2020-01-16,12,116
15,./fac19,3,2020-01-17,13,116
16,./fac19,3,2020-01-18,14,116
17,./fac19,3,2020-01-19,15,118
18,./fac19,3,2020-01-20,15,118
19,./fac19,3,2020-01-21,16,119
20,./fac19,3,2020-01-22,16,119
21,./fac19,3,2020-01-23,16,120
22,./fac19,3,2020-01-24,16,121
23,./fac19,3,2020-01-25,16,122
24,./fac19,3,2020-01-26,16,122
25,./fac19,3,2020-01-27,16,122
26,./fac19,3,2020-01-28,16,122
27,./fac19,3,2020-01-29,16,122
