,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,9,2020-01-02,0,0
1,./fac21,9,2020-01-03,0,3
2,./fac21,9,2020-01-04,1,5
3,./fac21,9,2020-01-05,1,7
4,./fac21,9,2020-01-06,1,8
5,./fac21,9,2020-01-07,1,9
6,./fac21,9,2020-01-08,1,11
7,./fac21,9,2020-01-09,3,12
8,./fac21,9,2020-01-10,4,14
9,./fac21,9,2020-01-11,4,18
10,./fac21,9,2020-01-12,5,23
11,./fac21,9,2020-01-13,6,26
12,./fac21,9,2020-01-14,8,27
13,./fac21,9,2020-01-15,10,28
14,./fac21,9,2020-01-16,10,29
15,./fac21,9,2020-01-17,11,31
16,./fac21,9,2020-01-18,11,31
17,./fac21,9,2020-01-19,11,33
18,./fac21,9,2020-01-20,11,34
19,./fac21,9,2020-01-21,11,34
20,./fac21,9,2020-01-22,11,34
21,./fac21,9,2020-01-23,11,34
22,./fac21,9,2020-01-24,11,34
23,./fac21,9,2020-01-25,13,34
24,./fac21,9,2020-01-26,13,34
25,./fac21,9,2020-01-27,14,34
26,./fac21,9,2020-01-28,14,34
27,./fac21,9,2020-01-29,14,34
