,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,4,2020-01-02,0,0
1,./fac21,4,2020-01-03,0,3
2,./fac21,4,2020-01-04,0,5
3,./fac21,4,2020-01-05,1,7
4,./fac21,4,2020-01-06,1,8
5,./fac21,4,2020-01-07,1,12
6,./fac21,4,2020-01-08,1,14
7,./fac21,4,2020-01-09,3,16
8,./fac21,4,2020-01-10,5,18
9,./fac21,4,2020-01-11,6,21
10,./fac21,4,2020-01-12,6,25
11,./fac21,4,2020-01-13,8,29
12,./fac21,4,2020-01-14,9,29
13,./fac21,4,2020-01-15,9,31
14,./fac21,4,2020-01-16,10,31
15,./fac21,4,2020-01-17,10,31
16,./fac21,4,2020-01-18,10,32
17,./fac21,4,2020-01-19,10,32
18,./fac21,4,2020-01-20,10,32
19,./fac21,4,2020-01-21,12,32
20,./fac21,4,2020-01-22,13,32
21,./fac21,4,2020-01-23,14,33
22,./fac21,4,2020-01-24,14,33
23,./fac21,4,2020-01-25,14,33
24,./fac21,4,2020-01-26,14,33
25,./fac21,4,2020-01-27,14,33
26,./fac21,4,2020-01-28,14,33
27,./fac21,4,2020-01-29,14,33
