,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,10,2020-01-02,0,0
1,./fac21,10,2020-01-03,0,3
2,./fac21,10,2020-01-04,0,5
3,./fac21,10,2020-01-05,0,6
4,./fac21,10,2020-01-06,0,6
5,./fac21,10,2020-01-07,0,7
6,./fac21,10,2020-01-08,2,8
7,./fac21,10,2020-01-09,3,8
8,./fac21,10,2020-01-10,3,10
9,./fac21,10,2020-01-11,4,13
10,./fac21,10,2020-01-12,4,16
11,./fac21,10,2020-01-13,4,22
12,./fac21,10,2020-01-14,6,24
13,./fac21,10,2020-01-15,7,25
14,./fac21,10,2020-01-16,7,27
15,./fac21,10,2020-01-17,7,30
16,./fac21,10,2020-01-18,7,31
17,./fac21,10,2020-01-19,9,33
18,./fac21,10,2020-01-20,11,33
19,./fac21,10,2020-01-21,11,33
20,./fac21,10,2020-01-22,12,33
21,./fac21,10,2020-01-23,13,33
22,./fac21,10,2020-01-24,13,33
23,./fac21,10,2020-01-25,13,33
24,./fac21,10,2020-01-26,13,33
25,./fac21,10,2020-01-27,13,33
26,./fac21,10,2020-01-28,13,33
27,./fac21,10,2020-01-29,13,33
