,facility,run,sim_day,pat_inf,hcws_inf
0,./fac19,2,2020-01-02,0,0
1,./fac19,2,2020-01-03,0,15
2,./fac19,2,2020-01-04,3,22
3,./fac19,2,2020-01-05,4,34
4,./fac19,2,2020-01-06,4,54
5,./fac19,2,2020-01-07,6,73
6,./fac19,2,2020-01-08,6,84
7,./fac19,2,2020-01-09,6,98
8,./fac19,2,2020-01-10,7,102
9,./fac19,2,2020-01-11,7,108
10,./fac19,2,2020-01-12,8,114
11,./fac19,2,2020-01-13,8,116
12,./fac19,2,2020-01-14,9,117
13,./fac19,2,2020-01-15,12,117
14,./fac19,2,2020-01-16,13,117
15,./fac19,2,2020-01-17,13,117
16,./fac19,2,2020-01-18,14,117
17,./fac19,2,2020-01-19,14,119
18,./fac19,2,2020-01-20,14,122
19,./fac19,2,2020-01-21,15,122
20,./fac19,2,2020-01-22,16,122
21,./fac19,2,2020-01-23,16,122
22,./fac19,2,2020-01-24,16,122
23,./fac19,2,2020-01-25,16,122
24,./fac19,2,2020-01-26,16,122
25,./fac19,2,2020-01-27,16,122
26,./fac19,2,2020-01-28,16,122
27,./fac19,2,2020-01-29,16,122
