,facility,run,sim_day,pat_inf,hcws_inf
0,./fac21,7,2020-01-02,0,0
1,./fac21,7,2020-01-03,0,3
2,./fac21,7,2020-01-04,1,5
3,./fac21,7,2020-01-05,1,8
4,./fac21,7,2020-01-06,1,8
5,./fac21,7,2020-01-07,1,12
6,./fac21,7,2020-01-08,1,15
7,./fac21,7,2020-01-09,2,15
8,./fac21,7,2020-01-10,7,16
9,./fac21,7,2020-01-11,9,17
10,./fac21,7,2020-01-12,10,21
11,./fac21,7,2020-01-13,10,26
12,./fac21,7,2020-01-14,10,27
13,./fac21,7,2020-01-15,11,28
14,./fac21,7,2020-01-16,11,30
15,./fac21,7,2020-01-17,11,33
16,./fac21,7,2020-01-18,11,33
17,./fac21,7,2020-01-19,11,33
18,./fac21,7,2020-01-20,11,33
19,./fac21,7,2020-01-21,12,33
20,./fac21,7,2020-01-22,14,33
21,./fac21,7,2020-01-23,15,33
22,./fac21,7,2020-01-24,15,33
23,./fac21,7,2020-01-25,15,34
24,./fac21,7,2020-01-26,15,34
25,./fac21,7,2020-01-27,15,34
26,./fac21,7,2020-01-28,15,34
27,./fac21,7,2020-01-29,15,34
